id,email,password,userType
1,sampleS1,1234,Student
2,joshmcc@my.yorku.ca,pass123,Student
3,sample1@gmail.com,pass234,Student
4,sample2@gmail.com,pass345,Student
5,sample3@gmail.com,pass456,Student
6,sampleNF1@gmail.com,adfhwe,Non-Faculty
7,sampleV1@gmail.com,sdafief,Visitor
8,faculty1@gmail.com,pass123,Faculty
9,sampleS5,fdafef,Student
10,randomemail,defuebh,Student
11,randSEmail,dfhuehfdf,Student
12,faculty2@gmail.com,pass123,Faculty
13,randSEmail3,dnwiudsd,Student
14,randomVisitorEmail,daowdkadksd,Visitor
15,sampleStudEmail,dmwidjw,Student
16,sampleVisitEmail,dwidjwd,Visitor
17,randoVisitorEm,asdjwi,Visitor
18,newSEmail,pass1234,Student
19,visitor7@gmail.com,pass123,Visitor
20,testingVisitor@gmail.com,Aa1!,Visitor
21,TestingStudent@my.yorku.ca,Pass1!,Student
